cod_parlamentario,name,deputy_photo,hemiciclo_image,facebook,instagram,twitter,website,url
39,María Araceli Poblador Pacheco,True,True,,,https://twitter.com/aracelipoblador,,https://www.congreso.es/es/busqueda-de-diputados?p_p_id=diputadomodule&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_diputadomodule_mostrarFicha=true&codParlamentario=39&idLegislatura=XV&mostrarAgenda=false
40,Juan Francisco Serrano Martínez,True,True,https://www.facebook.com/juanf.serranomartinez,,https://twitter.com/jfrserrano,,https://www.congreso.es/es/busqueda-de-diputados?p_p_id=diputadomodule&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_diputadomodule_mostrarFicha=true&codParlamentario=40&idLegislatura=XV&mostrarAgenda=false
41,Beatriz Jiménez Linuesa,True,True,https://www.facebook.com/beatriz.jimenezlinuesa,https://www.instagram.com/bealinuesita/,https://twitter.com/Linuesita,,https://www.congreso.es/es/busqueda-de-diputados?p_p_id=diputadomodule&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_diputadomodule_mostrarFicha=true&codParlamentario=41&idLegislatura=XV&mostrarAgenda=false
42,Irene Garrido Valenzuela,True,True,,,https://twitter.com/garridoirene1,,https://www.congreso.es/es/busqueda-de-diputados?p_p_id=diputadomodule&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_diputadomodule_mostrarFicha=true&codParlamentario=42&idLegislatura=XV&mostrarAgenda=false
43,Bella Verano Domínguez,True,True,https://www.facebook.com/BellaVeranoH,https://www.instagram.com/bellaveranodominguez/,https://twitter.com/VeranoDominguez,,https://www.congreso.es/es/busqueda-de-diputados?p_p_id=diputadomodule&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_diputadomodule_mostrarFicha=true&codParlamentario=43&idLegislatura=XV&mostrarAgenda=false
44,María del Socorro Cuesta Rodríguez,True,True,https://www.facebook.com/maria.cuestarodriguez.7/,https://www.instagram.com/mariacuesta73/,https://twitter.com/mariacuesta73,,https://www.congreso.es/es/busqueda-de-diputados?p_p_id=diputadomodule&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_diputadomodule_mostrarFicha=true&codParlamentario=44&idLegislatura=XV&mostrarAgenda=false
45,Pablo Pérez Coronado,True,True,https://www.facebook.com/pablo.perezcoronado,https://www.instagram.com/pabloperez_sg/,https://twitter.com/pcoronado__,,https://www.congreso.es/es/busqueda-de-diputados?p_p_id=diputadomodule&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_diputadomodule_mostrarFicha=true&codParlamentario=45&idLegislatura=XV&mostrarAgenda=false
46,Óscar Ramajo Prada,True,True,https://www.facebook.com/OscarRamajoPradaRamis,https://www.instagram.com/oscarramajopradaramis/,https://twitter.com/oscarramis,,https://www.congreso.es/es/busqueda-de-diputados?p_p_id=diputadomodule&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_diputadomodule_mostrarFicha=true&codParlamentario=46&idLegislatura=XV&mostrarAgenda=false
47,Cristina Teniente Sánchez,True,True,,,,,https://www.congreso.es/es/busqueda-de-diputados?p_p_id=diputadomodule&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_diputadomodule_mostrarFicha=true&codParlamentario=47&idLegislatura=XV&mostrarAgenda=false
48,Macarena Lorente Anaya,True,True,,https://www.instagram.com/macarenaloran,https://twitter.com/macarenaloran,,https://www.congreso.es/es/busqueda-de-diputados?p_p_id=diputadomodule&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_diputadomodule_mostrarFicha=true&codParlamentario=48&idLegislatura=XV&mostrarAgenda=false
49,Maribel García López,True,True,,,https://twitter.com/belitagl,,https://www.congreso.es/es/busqueda-de-diputados?p_p_id=diputadomodule&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_diputadomodule_mostrarFicha=true&codParlamentario=49&idLegislatura=XV&mostrarAgenda=false
50,Raúl Díaz Marín,True,True,,https://www.instagram.com/rauldiaz_,https://twitter.com/rauldiaz_,,https://www.congreso.es/es/busqueda-de-diputados?p_p_id=diputadomodule&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_diputadomodule_mostrarFicha=true&codParlamentario=50&idLegislatura=XV&mostrarAgenda=false
