metadata_deputy_id,personal_apellidos,personal_nombre,personal_circunscripcion,personal_fecha_eleccion,metadata_tipo_declaracion,seccion,item_index,actividad_periodo,actividad_empleador,actividad_sector,actividad_descripcion,donacion_benefactor,donacion_descripcion,fundacion_destinatario,fundacion_descripcion,otros_texto,firma_fecha,metadata_archivo_origen
000178,Nasarre Oliva,Begoña,Huesca,8 de agosto de 2023,,actividades,1.0,,PSOE en Aragón,Cargos en partidos ó grupos parlamentarios,"Secretaría autonómica de Política Autonómica del PSOE en Aragón, sin retribución, dietas o indemnizaciones.",,,,,,,deputy_000178_interests_registro_intereses_diputado_178.pdf
000180,Ibáñez Hernando,Ángel,Burgos,8 de agosto de 2023,,actividades,0.0,,Cortes de Castilla y León,Cargos públicos,"Procurador en las Cortes de Castilla y León, con dedicación exclusiva como Viceportavoz del GP Popular, en situación de renuncia desde el 16.08.2023.",,,,,,,deputy_000180_interests_registro_intereses_diputado_180.pdf
000180,Ibáñez Hernando,Ángel,Burgos,8 de agosto de 2023,,actividades,1.0,,Universidad de Burgos,Actividades públicas a las que ha renunciado,"Técnico Superior de Innovación y Empleo (Grupo I) de la Universidad de Burgos, en situación de excedencia forzosa, percibiendo el correspondiente complemento por antigüedad.",,,,,,,deputy_000180_interests_registro_intereses_diputado_180.pdf
000180,Ibáñez Hernando,Ángel,Burgos,8 de agosto de 2023,,actividades,2.0,,Partido Popular de Burgos,Cargos en partidos ó grupos parlamentarios,"Coordinador Provincial del Partido Popular de Burgos, sin percepción de retribución alguna ni dietas o indemnizaciones.",,,,,,,deputy_000180_interests_registro_intereses_diputado_180.pdf
000181,Quintanilla Navarro,Miguel Ángel,Madrid,9 de agosto de 2023,,actividades,0.0,,Universidad Francisco de Vitoria,Docencia,"Profesor contratado doctor en la Universidad Francisco de Vitoria, universidad privada, Pozuelo de Alarcón, Madrid. Contrato de cuatrimestre, 5 horas semanales.",,,,,,,deputy_000181_interests_registro_intereses_diputado_181.pdf
000181,Quintanilla Navarro,Miguel Ángel,Madrid,9 de agosto de 2023,,actividades,1.0,,Universidad Francisco de Vitoria,Docencia,"Profesor contratado Doctor en la Universidad Francisco de Vitoria, universidad privada (Pozuelo de Alarcón, Madrid). Contrato de cuatrimestre, 5 horas semanales.",,,,,,,deputy_000181_interests_registro_intereses_diputado_181.pdf
000181,Quintanilla Navarro,Miguel Ángel,Madrid,9 de agosto de 2023,,otros_intereses,0.0,,,,,,,,,"1. La autorización de esta actividad se realiza con la cautela de que no suponga el desempeño de otro puesto público o privado o incurra en algunas de las actividades prohibidas del artículo 159.2 LOREG.

2. Las actividades privadas se autorizan en la medida en que no incurran en los supuestos del artículo 159.2 de la LOREG, con las cautelas de no invocar la condición de parlamentario, no menoscabar la dedicación parlamentaria, y no incurrir en actividades prohibidas del artículo 159.2.",,deputy_000181_interests_registro_intereses_diputado_181.pdf
000182,Martínez Salmerón,Joaquín,Murcia,9 de agosto de 2023,,actividades,0.0,,PSOE,Cargos en partidos ó grupos parlamentarios,"Miembro de la Comisión Ejecutiva Local del PSOE, sin retribución.",,,,,,,deputy_000182_interests_registro_intereses_diputado_182.pdf
000182,Martínez Salmerón,Joaquín,Murcia,9 de agosto de 2023,,actividades,1.0,,PSRM/PSOE,Cargos en partidos ó grupos parlamentarios,"Presidente del Comité Regional del PSRM/PSOE, sin retribución.",,,,,,,deputy_000182_interests_registro_intereses_diputado_182.pdf
000182,Martínez Salmerón,Joaquín,Murcia,9 de agosto de 2023,,actividades,2.0,,Martínez Salmerón Recupera S.L.,Actividades privadas autorizadas,"Administrador Mancomunado de Martínez Salmerón Recupera S.L., no percibiendo ingresos por la condición de administrador.",,,,,,,deputy_000182_interests_registro_intereses_diputado_182.pdf
